,Contact ID,Average Pageviews,Number of Pageviews,Number of Sessions,IP Country,url0,url1,url2,url3
2741,4243,1,5,3,peru,3,0,0,0
2763,2105,1,6,6,australia,5,0,0,0
2764,2107,1,1,1,france,3,0,0,0
2772,4360,1,1,1,india,3,0,0,0
2774,7515,2,2,1,united states,8,8,0,0
2788,10350,10,10,1,singapore,6,14,8,4
2795,3696,3,18,6,india,6,4,2,6
2797,3760,1,4,3,france,3,5,3,0
2814,10408,1,1,1,united kingdom,3,0,0,0
2818,10459,1,6,6,india,3,3,3,0
2821,2145,1,1,1,united states,4,0,0,0
2822,2155,0,2,3,brazil,10,10,0,0
2828,2377,3,3,1,italy,1,5,0,0
2830,2388,1,1,1,kuwait,3,0,0,0
2831,2393,3,28,9,united states,3,3,3,4
2864,4306,5,789,149,colombia,4,7,4,7
2867,8982,2,2,1,germany,1,0,0,0
2882,2496,1,3,2,united states,3,3,0,0
2887,2568,3,21,7,germany,7,6,3,6
2892,2802,1,1,1,india,3,0,0,0
2894,2842,1,3,2,brazil,3,5,3,0
2896,3424,1,6,4,india,7,6,5,3
2905,10800,5,5,1,netherlands,3,1,4,0
2922,4307,1,1,1,brazil,8,0,0,0
2929,4516,1,2,2,brazil,1,0,0,0
2933,4713,1,3,3,india,3,1,0,0
2938,9626,1,9,6,india,6,3,2,4
2965,10188,1,1,1,finland,3,0,0,0
2967,12533,2,4,2,colombia,5,3,0,0
2968,12543,2,2,1,chile,3,0,0,0
2969,12616,1,4,3,united states,3,0,0,0
2972,3063,4,4,1,singapore,7,4,7,5
2986,4805,1,1,1,united states,2,0,0,0
3004,4952,1,1,1,australia,3,0,0,0
3010,5352,1,4,3,canada,7,5,0,0
3011,5353,1,1,1,united states,12,0,0,0
3024,10249,1,7,4,united kingdom,3,3,3,1
3027,12833,1,2,2,united states,5,0,0,0
3028,12879,1,1,1,united states,5,0,0,0
3040,3746,2,4,2,belgium,5,0,0,0
3043,3822,1,1,1,india,3,0,0,0
3059,12936,2,2,1,sweden,3,0,0,0
3073,7144,0,0,1,peru,5,0,0,0
3074,7147,1,2,2,united states,3,3,0,0
3077,10346,1,1,1,romania,3,0,0,0
3082,12998,2,6,3,norway,6,7,6,3
3085,13115,1,1,1,india,5,0,0,0
3093,3390,2,2,1,united states,8,3,0,0
3097,4037,3,28,9,india,4,9,8,9
3117,13692,1,2,2,italy,10,0,0,0
3131,4197,1,17,13,canada,5,3,3,3
3135,4236,1,27,17,czech republic,3,3,3,3
3138,4327,1,1,1,peru,3,0,0,0
3144,10591,1,1,1,united states,3,0,0,0
3149,10722,1,1,1,south korea,5,0,0,0
3173,4395,1,36,33,india,6,5,6,5
3178,4551,2,4,2,peru,3,0,3,0
3210,7561,1,1,1,united states,3,0,0,0
3219,8759,1,2,2,germany,5,0,0,0
3234,9439,2,2,1,india,5,0,0,0
3241,9867,1,2,2,pakistan,5,0,0,0
3246,9975,0,0,1,united kingdom,3,0,0,0
3258,10160,3,3,1,united states,3,6,5,0
3259,10162,1,1,1,united states,3,0,0,0
3285,10553,1,1,1,australia,5,0,0,0
3288,10718,1,1,1,canada,3,0,0,0
3290,10941,1,3,3,india,3,3,3,0
3295,11017,1,2,2,india,1,3,0,0
3297,11056,4,28,7,united states,3,6,7,3
3306,7953,1,1,1,united states,3,0,0,0
3309,10819,1,11,8,united states,7,3,3,1
3315,10936,3,3,1,india,5,0,0,0
3332,8501,3,3,1,united states,3,7,5,0
3342,11141,1,1,1,united states,3,0,0,0
3352,11750,1,4,4,india,2,5,3,0
3356,11839,1,12,7,united kingdom,3,3,3,3
3368,9452,1,7,5,united states,3,3,2,14
3386,12114,1,1,1,spain,3,0,0,0
3401,6232,2,45,17,israel,2,4,2,4
3430,9991,1,2,2,united states,3,3,0,0
3435,10069,7,7,1,united kingdom,2,4,2,0
3441,12634,1,3,2,united states,8,7,5,0
3452,4358,2,10,4,united states,5,3,4,2
3454,4363,0,0,1,ireland,3,0,0,0
3459,4419,1,1,1,india,4,0,0,0
3461,4472,3,3,1,sweden,4,2,3,0
3465,4603,4,4,1,united states,4,7,3,0
3468,5652,1,5,3,united states,4,3,0,0
3471,6063,1,1,1,united states,3,0,0,0
3472,6090,1,11,6,norway,3,5,3,11
3473,6106,1,5,4,united states,7,3,0,0
3475,7517,1,17,14,united states,3,6,7,6
3477,10164,1,2,2,israel,3,0,0,0
3492,7342,1,13,7,greece,10,3,3,5
3521,5404,2,2,1,brazil,1,3,0,0
3540,5856,0,0,1,brazil,5,0,0,0
3550,7527,1,4,3,united states,3,0,0,0
3555,8967,0,0,1,india,5,0,0,0
3560,9297,3,3,1,united states,7,3,0,0
3561,10368,1,1,1,united states,3,0,0,0
3565,10414,1,36,29,austria,3,0,0,0
3568,13301,1,2,2,united states,3,3,0,0
3569,13458,1,1,1,india,1,0,0,0
3573,6238,1,2,2,germany,1,0,0,0
3594,10736,2,41,19,united states,3,12,3,7
3603,7954,2,4,2,india,7,3,3,3
3608,8802,1,1,1,united kingdom,6,0,0,0
3613,9427,4,9,2,united kingdom,3,6,12,6
3622,9840,2,2,1,united states,8,3,0,0
3630,6452,0,0,1,denmark,4,0,0,0
3640,8617,3,3,1,united states,6,5,0,0
3665,7510,1,6,4,united states,1,1,3,0
3676,9752,1,4,4,united states,3,0,0,0
3682,10989,1,1,1,united states,3,0,0,0
3685,11014,2,2,1,united states,5,0,0,0
3688,13790,1,1,1,spain,3,0,0,0
3702,9254,2,2,1,united states,3,3,0,0
3703,9271,1,20,14,united states,3,3,2,3
3714,10192,2,2,1,netherlands,3,0,0,0
3729,9263,3,7,2,india,3,2,7,1
3739,10281,5,5,1,united kingdom,5,7,5,0
3749,11111,0,0,2,portugal,5,4,0,0
3765,10045,2,4,2,united states,4,7,3,0
3776,11140,1,8,6,ireland,3,7,8,0
3785,8315,0,0,1,india,3,0,0,0
3791,9605,5,10,2,united states,6,3,3,7
3792,9611,2,4,2,united states,3,4,0,0
3794,10161,9,9,1,united states,7,8,2,9
3805,10594,1,7,5,canada,1,3,8,7
3824,10183,3,9,3,ireland,6,5,3,1
3826,10219,2,2,1,india,3,0,0,0
3839,10848,0,1,3,united states,5,0,0,0
3845,10321,3,7,2,germany,3,0,0,0
3849,10417,1,21,11,sri lanka,7,1,7,1
3865,10912,1,1,1,switzerland,5,0,0,0
3876,9747,1,9,5,india,3,0,0,0
3879,9894,1,13,7,united states,5,0,0,0
3885,10579,0,1,2,india,3,5,0,0
3888,10742,2,11,4,united kingdom,2,2,6,1
3891,10776,1,2,2,united states,7,3,0,0
3902,2605,1,1,1,united states,10,0,0,0
3907,2635,0,0,1,india,5,0,0,0
3914,2787,1,9,8,india,3,3,5,3
3921,9877,2,2,1,brazil,3,0,0,0
3932,2808,0,0,1,united states,5,0,0,0
3957,11181,1,3,2,egypt,3,3,0,0
3961,2668,1,5,5,germany,3,3,8,0
3971,10224,1,3,2,new zealand,3,0,0,0
3975,10244,3,36,11,germany,2,4,3,8
3978,10269,1,3,2,italy,5,7,3,0
3985,10785,1,5,3,united states,4,4,0,0
3989,11301,1,2,2,ireland,4,0,0,0
3992,2775,1,2,2,india,3,0,0,0
3994,2950,1,14,13,argentina,3,3,0,0
3995,2962,1,6,4,pakistan,4,6,3,0
3996,10367,1,1,1,united states,1,0,0,0
3997,10374,2,2,1,united states,6,3,0,0
4001,10469,0,0,1,united states,4,0,0,0
4018,10980,2,2,1,india,3,0,0,0
4025,2822,1,1,1,india,3,0,0,0
4039,10756,2,2,1,united states,8,0,0,0
4085,3181,1,4,3,united states,6,7,3,0
4091,3397,2,10,5,canada,6,7,6,7
4108,14239,0,0,1,south korea,5,0,0,0
4114,3344,4,23,5,united kingdom,3,6,7,6
4120,3645,1,1,1,united kingdom,3,0,0,0
4129,14453,2,4,2,india,5,3,0,0
4130,14462,1,1,1,singapore,3,0,0,0
4131,14479,2,5,2,france,7,4,2,1
4132,14513,1,3,2,united states,9,3,0,0
4134,14730,1,1,1,hungary,3,0,0,0
4142,3376,1,1,1,canada,3,0,0,0
4147,3663,1,4,4,pakistan,5,3,7,3
4156,4450,2,2,1,united states,6,7,0,0
4160,6103,1,30,23,india,2,3,3,3
4180,15553,1,5,4,united states,3,3,3,0
4190,15989,0,0,1,ukraine,5,0,0,0
4196,16201,2,2,1,japan,7,4,0,0
4205,4633,1,6,5,united states,7,3,0,0
4213,16514,1,1,1,italy,5,0,0,0
4214,16580,1,1,1,pakistan,3,0,0,0
4216,16623,3,3,1,china,4,1,3,0
4218,16695,1,1,1,united states,4,0,0,0
4231,3551,4,4,1,belgium,8,3,0,0
4235,3734,1,6,6,united states,10,3,0,0
4241,3842,1,3,3,united kingdom,3,3,5,0
4245,4755,1,7,5,united states,3,0,0,0
4251,7133,1,1,1,united states,3,0,0,0
4272,8652,1,1,1,spain,3,0,0,0
4274,8761,1,5,4,singapore,3,2,3,0
4279,13825,2,2,1,india,3,0,0,0
4296,9051,1,1,1,united states,3,0,0,0
4310,10805,2,4,2,united states,3,3,6,0
4312,13830,1,4,3,singapore,8,3,0,0
4314,17565,2,5,2,brazil,3,0,0,0
4328,6095,4,8,2,india,3,3,0,1
4355,8342,0,0,1,italy,15,0,0,0
4365,8958,3,3,1,united states,3,6,3,0
4378,9847,1,2,2,germany,6,3,0,0
4379,9852,1,1,1,india,5,0,0,0
4381,7349,5,5,1,united states,4,2,2,6
4402,10268,1,1,1,united states,3,0,0,0
4404,10353,1,2,2,united states,1,3,0,0
4405,10372,1,2,2,united states,2,3,0,0
4409,10401,2,16,7,france,3,7,1,8
4410,7508,2,2,1,india,5,0,0,0
4428,8788,0,0,1,india,3,0,0,0
4434,9401,1,7,6,india,3,3,3,3
4437,11449,2,2,1,united states,4,0,0,0
4438,11501,2,2,1,united states,4,3,0,0
4440,9445,1,72,44,united states,7,8,3,0
4441,9603,2,2,1,united states,3,0,0,0
4449,9818,2,2,1,united states,4,0,0,0
4450,9851,1,7,5,macau,3,1,3,3
4458,10089,1,5,3,taiwan province of china,7,1,7,3
4465,11549,0,0,1,turkey,3,0,0,0
4466,11555,0,0,1,united states,5,0,0,0
4468,11575,1,1,1,united states,3,0,0,0
4481,10343,2,4,2,switzerland,3,3,3,0
4495,17814,1,1,1,united kingdom,3,0,0,0
4507,4311,1,1,1,india,3,0,0,0
4519,10850,0,0,1,united states,5,0,0,0
4528,17977,2,5,2,mexico,1,3,7,3
4534,10061,4,4,1,sweden,4,1,4,0
4543,10251,1,1,1,united states,1,0,0,0
4546,10275,2,2,1,spain,3,0,0,0
4561,10963,1,4,3,united states,3,5,0,0
4563,11009,1,4,3,united states,14,3,3,0
4580,11328,3,22,7,italy,7,5,7,3
4586,11519,1,1,1,united states,3,0,0,0
4588,11544,1,3,3,united kingdom,2,7,3,0
4589,11551,0,0,2,canada,2,0,0,0
4595,11638,1,9,9,italy,3,3,8,3
4605,11941,1,1,1,united states,4,0,0,0
4611,12044,1,3,3,india,3,3,3,0
4620,4174,2,7,3,india,5,3,2,2
4628,4340,1,1,1,taiwan province of china,7,0,0,0
4630,10950,1,1,1,united states,1,0,0,0
4631,11662,1,4,3,united states,3,1,0,0
4634,11688,1,6,4,singapore,4,7,3,0
